experiment,model,solver,mode,test_case,avg_sec,avg_iter,objective,termination,numerical_issues,presolve
205,4344.mps,gurobi,general,6,5.11,61.00,11086901.74,OPTIMAL,no,yes
206,4344.mps,gurobi,general,7,110.63,187.00,11087332.32,OPTIMAL,yes,no
207,4344.mps,gurobi,general,8,6.04,59.00,11086901.86,OPTIMAL,no,yes
208,4344.mps,highs,primal,5,26.45,70.00,11086922.07,OTHER_RESULT_STATUS,yes,yes
209,4344.mps,highs,jump_conic_dual,5,27.48,69.00,-11086846.03,OTHER_RESULT_STATUS,yes,yes
210,4344.mps,highs,general,5,21.84,70.00,-11086873.15,OTHER_RESULT_STATUS,yes,yes
211,5088.mps,gurobi,primal,5,5.80,66.00,12926304.67,OPTIMAL,no,yes
212,5088.mps,gurobi,primal,6,36.29,77.00,12926312.33,OPTIMAL,yes,no
213,5088.mps,gurobi,primal,7,7.04,63.00,12926314.47,OPTIMAL,no,yes
214,5088.mps,gurobi,primal,8,42.23,72.00,12926270.29,OPTIMAL,yes,no
215,5088.mps,gurobi,jump_conic_dual,5,141.26,211.00,12925880.55,OPTIMAL,yes,no
216,5088.mps,gurobi,jump_conic_dual,6,6.23,64.00,12926282.43,OPTIMAL,no,yes
217,5088.mps,gurobi,jump_conic_dual,7,105.68,123.00,12926128.66,OPTIMAL,yes,no
218,5088.mps,gurobi,jump_conic_dual,8,7.37,61.00,12926280.70,OPTIMAL,no,yes
219,5088.mps,gurobi,general,5,247.75,408.00,12930516.11,OPTIMAL,yes,no
220,5088.mps,gurobi,general,6,6.26,65.00,12926284.72,OPTIMAL,no,yes
221,5088.mps,gurobi,general,7,161.54,234.00,12926642.37,OPTIMAL,yes,no
222,5088.mps,gurobi,general,8,7.14,59.00,12926313.49,OPTIMAL,no,yes
223,5088.mps,highs,primal,5,43.11,92.00,12926283.95,OTHER_RESULT_STATUS,yes,yes
224,5088.mps,highs,jump_conic_dual,5,42.41,91.00,-12926163.69,OTHER_RESULT_STATUS,yes,yes
225,5088.mps,highs,general,5,30.41,90.00,-12926176.23,OTHER_RESULT_STATUS,yes,yes
226,5832.mps,gurobi,primal,5,7.68,75.00,14766812.00,OPTIMAL,no,yes
227,5832.mps,gurobi,primal,6,41.49,85.00,14767639.35,OPTIMAL,yes,no
228,5832.mps,gurobi,primal,7,9.01,73.00,14766817.62,OPTIMAL,no,yes
229,5832.mps,gurobi,primal,8,61.64,90.00,14766803.40,OPTIMAL,yes,no
230,5832.mps,gurobi,jump_conic_dual,5,140.18,183.00,14766089.10,OPTIMAL,yes,no
231,5832.mps,gurobi,jump_conic_dual,6,9.96,87.00,14766808.47,OPTIMAL,no,yes
232,5832.mps,gurobi,jump_conic_dual,7,185.70,184.00,14766681.25,OPTIMAL,yes,no
233,5832.mps,gurobi,jump_conic_dual,8,13.70,98.00,14766814.19,OPTIMAL,no,yes
234,5832.mps,gurobi,general,5,201.88,296.00,14768137.42,OPTIMAL,yes,no
235,5832.mps,gurobi,general,6,9.55,84.00,14766804.06,OPTIMAL,no,yes
236,5832.mps,gurobi,general,7,224.92,261.00,14773581.93,OPTIMAL,yes,no
237,5832.mps,gurobi,general,8,12.13,93.00,14766807.43,OPTIMAL,no,yes
238,5832.mps,highs,primal,5,63.96,117.00,14766762.48,OTHER_RESULT_STATUS,yes,yes
239,5832.mps,highs,jump_conic_dual,5,54.89,110.00,-14766621.20,OTHER_RESULT_STATUS,yes,yes
240,5832.mps,highs,general,5,57.96,114.00,-14766615.62,OTHER_RESULT_STATUS,yes,yes
241,6552.mps,gurobi,primal,5,8.68,75.00,16574203.81,OPTIMAL,no,yes
242,6552.mps,gurobi,primal,6,61.09,100.00,16574224.70,OPTIMAL,yes,no
243,6552.mps,gurobi,primal,7,13.08,83.00,16574097.95,OPTIMAL,no,yes
244,6552.mps,gurobi,primal,8,85.28,98.00,16574082.95,OPTIMAL,yes,no
245,6552.mps,gurobi,jump_conic_dual,5,209.50,259.00,16574054.02,OPTIMAL,yes,no
246,6552.mps,gurobi,jump_conic_dual,6,11.98,91.00,16574077.78,OPTIMAL,no,yes
247,6552.mps,gurobi,jump_conic_dual,7,205.50,174.00,16573846.64,OPTIMAL,yes,no
248,6552.mps,gurobi,jump_conic_dual,8,14.83,85.00,16574116.94,OPTIMAL,no,yes
249,6552.mps,gurobi,general,5,64.71,81.80,16686173.30,LOCALLY_SOLVED,yes,no
250,6552.mps,gurobi,general,6,12.67,85.00,16574141.67,OPTIMAL,no,yes
251,6552.mps,gurobi,general,7,251.81,276.00,16581218.78,OPTIMAL,yes,no
252,6552.mps,gurobi,general,8,14.24,86.00,16574202.31,OPTIMAL,no,yes
253,6552.mps,highs,primal,5,74.79,112.00,16574141.53,OTHER_RESULT_STATUS,yes,yes
254,6552.mps,highs,jump_conic_dual,5,72.40,109.00,-16573989.99,OTHER_RESULT_STATUS,yes,yes
255,6552.mps,highs,general,5,65.28,108.00,-16573966.80,OTHER_RESULT_STATUS,yes,yes
256,7296.mps,gurobi,primal,5,7.87,66.00,18470045.38,OPTIMAL,no,yes
257,7296.mps,gurobi,primal,6,49.37,85.00,18470159.42,OPTIMAL,yes,no
258,7296.mps,gurobi,primal,7,12.29,75.00,18470038.28,OPTIMAL,no,yes
259,7296.mps,gurobi,primal,8,62.27,81.00,18470039.97,OPTIMAL,yes,no
260,7296.mps,gurobi,jump_conic_dual,5,237.54,216.00,18469906.52,OPTIMAL,yes,no
261,7296.mps,gurobi,jump_conic_dual,6,10.25,71.00,18470145.55,OPTIMAL,no,yes
